Date,SKU,ProductName,Category,Cost,Sales,Promotion,Weather,Holiday,Profit
2022-01-02,SKU-101,Pro Carbon Stick,Sticks,150.0,328.62,None,Sunny,0,178.62
2022-01-02,SKU-401,Stealth Pro Gloves,Gloves,90.0,216.08,None,Snow,1,126.08
2022-01-04,SKU-401,Stealth Pro Gloves,Gloves,90.0,214.98,10% Off,Sunny,0,124.98
2022-01-04,SKU-201,Vapor Flex Skates,Skates,300.0,489.18,None,Sunny,0,189.18
2022-01-04,SKU-401,Stealth Pro Gloves,Gloves,90.0,187.75,None,Rain,0,97.75
2022-01-06,SKU-201,Vapor Flex Skates,Skates,300.0,680.69,10% Off,Snow,0,380.69
2022-01-07,SKU-301,AeroLite Helmet,Helmets,80.0,179.81,None,Snow,1,99.81
2022-01-07,SKU-301,AeroLite Helmet,Helmets,80.0,174.96,None,Rain,1,94.96
2022-01-08,SKU-101,Pro Carbon Stick,Sticks,150.0,329.93,None,Snow,0,179.93
2022-01-09,SKU-401,Stealth Pro Gloves,Gloves,90.0,208.32,None,Rain,0,118.32
2022-01-09,SKU-301,AeroLite Helmet,Helmets,80.0,150.16,None,Sunny,0,70.16
2022-01-09,SKU-201,Vapor Flex Skates,Skates,300.0,465.66,None,Sunny,0,165.66
2022-01-10,SKU-201,Vapor Flex Skates,Skates,300.0,545.45,None,Snow,0,245.45
2022-01-11,SKU-201,Vapor Flex Skates,Skates,300.0,550.32,None,Rain,0,250.32
2022-01-11,SKU-401,Stealth Pro Gloves,Gloves,90.0,165.82,None,Rain,0,75.82
2022-01-11,SKU-201,Vapor Flex Skates,Skates,300.0,626.37,10% Off,Snow,0,326.37
2022-01-11,SKU-401,Stealth Pro Gloves,Gloves,90.0,191.87,10% Off,Sunny,0,101.87
2022-01-11,SKU-201,Vapor Flex Skates,Skates,300.0,483.7,None,Sunny,0,183.7
2022-01-12,SKU-301,AeroLite Helmet,Helmets,80.0,178.1,None,Snow,0,98.1
2022-01-12,SKU-401,Stealth Pro Gloves,Gloves,90.0,203.76,10% Off,Sunny,0,113.76
2022-01-13,SKU-201,Vapor Flex Skates,Skates,300.0,702.94,None,Sunny,0,402.94
2022-01-13,SKU-201,Vapor Flex Skates,Skates,300.0,493.11,None,Sunny,0,193.11
2022-01-15,SKU-401,Stealth Pro Gloves,Gloves,90.0,198.89,None,Rain,0,108.89
2022-01-15,SKU-201,Vapor Flex Skates,Skates,300.0,482.92,None,Snow,0,182.92
2022-01-16,SKU-401,Stealth Pro Gloves,Gloves,90.0,177.25,None,Sunny,0,87.25
2022-01-16,SKU-301,AeroLite Helmet,Helmets,80.0,169.73,None,Sunny,1,89.73
2022-01-17,SKU-101,Pro Carbon Stick,Sticks,150.0,338.63,None,Snow,0,188.63
2022-01-17,SKU-301,AeroLite Helmet,Helmets,80.0,195.26,None,Snow,0,115.26
2022-01-18,SKU-201,Vapor Flex Skates,Skates,300.0,716.52,10% Off,Sunny,0,416.52
2022-01-18,SKU-201,Vapor Flex Skates,Skates,300.0,599.02,None,Sunny,0,299.02
2022-01-19,SKU-101,Pro Carbon Stick,Sticks,150.0,264.76,None,Rain,0,114.76
2022-01-20,SKU-301,AeroLite Helmet,Helmets,80.0,192.02,None,Rain,0,112.02
2022-01-20,SKU-101,Pro Carbon Stick,Sticks,150.0,332.41,10% Off,Rain,0,182.41
2022-01-20,SKU-401,Stealth Pro Gloves,Gloves,90.0,195.55,None,Snow,0,105.55
2022-01-21,SKU-101,Pro Carbon Stick,Sticks,150.0,373.21,None,Snow,0,223.21
2022-01-21,SKU-101,Pro Carbon Stick,Sticks,150.0,295.72,None,Sunny,0,145.72
2022-01-22,SKU-301,AeroLite Helmet,Helmets,80.0,178.72,None,Snow,0,98.72
2022-01-22,SKU-301,AeroLite Helmet,Helmets,80.0,185.9,None,Snow,0,105.9
2022-01-23,SKU-401,Stealth Pro Gloves,Gloves,90.0,173.97,None,Rain,0,83.97
2022-01-23,SKU-201,Vapor Flex Skates,Skates,300.0,690.28,10% Off,Sunny,0,390.28
2022-01-23,SKU-101,Pro Carbon Stick,Sticks,150.0,345.31,10% Off,Snow,0,195.31
2022-01-24,SKU-301,AeroLite Helmet,Helmets,80.0,193.75,None,Sunny,0,113.75
2022-01-26,SKU-101,Pro Carbon Stick,Sticks,150.0,318.88,None,Sunny,0,168.88
2022-01-26,SKU-401,Stealth Pro Gloves,Gloves,90.0,210.56,None,Rain,0,120.56
2022-01-27,SKU-101,Pro Carbon Stick,Sticks,150.0,269.48,None,Snow,0,119.48
2022-01-28,SKU-201,Vapor Flex Skates,Skates,300.0,627.2,None,Rain,0,327.2
2022-01-29,SKU-101,Pro Carbon Stick,Sticks,150.0,369.72,10% Off,Rain,0,219.72
2022-01-30,SKU-301,AeroLite Helmet,Helmets,80.0,193.39,None,Rain,1,113.39
2022-01-31,SKU-201,Vapor Flex Skates,Skates,300.0,723.02,10% Off,Sunny,0,423.02
2022-02-01,SKU-201,Vapor Flex Skates,Skates,300.0,601.78,None,Snow,0,301.78
2022-02-01,SKU-201,Vapor Flex Skates,Skates,300.0,706.47,10% Off,Sunny,0,406.47
2022-02-02,SKU-401,Stealth Pro Gloves,Gloves,90.0,178.47,None,Snow,0,88.47
2022-02-05,SKU-201,Vapor Flex Skates,Skates,300.0,543.21,None,Rain,0,243.21
2022-02-06,SKU-201,Vapor Flex Skates,Skates,300.0,517.78,None,Snow,0,217.78
2022-02-06,SKU-301,AeroLite Helmet,Helmets,80.0,150.26,None,Rain,0,70.26
2022-02-06,SKU-101,Pro Carbon Stick,Sticks,150.0,240.37,None,Sunny,0,90.37
2022-02-07,SKU-301,AeroLite Helmet,Helmets,80.0,172.97,None,Sunny,0,92.97
2022-02-07,SKU-401,Stealth Pro Gloves,Gloves,90.0,135.76,None,Sunny,0,45.76
2022-02-08,SKU-101,Pro Carbon Stick,Sticks,150.0,332.57,None,Rain,0,182.57
2022-02-08,SKU-101,Pro Carbon Stick,Sticks,150.0,225.7,None,Rain,0,75.7
2022-02-09,SKU-301,AeroLite Helmet,Helmets,80.0,183.07,None,Snow,0,103.07
2022-02-12,SKU-201,Vapor Flex Skates,Skates,300.0,488.3,None,Snow,0,188.3
2022-02-12,SKU-101,Pro Carbon Stick,Sticks,150.0,246.59,10% Off,Rain,0,96.59
2022-02-13,SKU-301,AeroLite Helmet,Helmets,80.0,163.64,None,Snow,1,83.64
2022-02-14,SKU-201,Vapor Flex Skates,Skates,300.0,587.49,10% Off,Rain,0,287.49
2022-02-14,SKU-201,Vapor Flex Skates,Skates,300.0,699.34,10% Off,Snow,0,399.34
2022-02-14,SKU-301,AeroLite Helmet,Helmets,80.0,127.68,None,Sunny,0,47.68
2022-02-14,SKU-301,AeroLite Helmet,Helmets,80.0,156.74,10% Off,Rain,0,76.74
2022-02-15,SKU-101,Pro Carbon Stick,Sticks,150.0,265.13,None,Sunny,0,115.13
2022-02-15,SKU-401,Stealth Pro Gloves,Gloves,90.0,139.19,None,Rain,0,49.19
2022-02-15,SKU-101,Pro Carbon Stick,Sticks,150.0,361.51,10% Off,Rain,0,211.51
2022-02-15,SKU-401,Stealth Pro Gloves,Gloves,90.0,164.47,10% Off,Sunny,0,74.47
2022-02-16,SKU-301,AeroLite Helmet,Helmets,80.0,123.74,None,Rain,0,43.74
2022-02-16,SKU-401,Stealth Pro Gloves,Gloves,90.0,178.67,None,Snow,0,88.67
2022-02-18,SKU-301,AeroLite Helmet,Helmets,80.0,155.22,None,Rain,0,75.22
2022-02-19,SKU-201,Vapor Flex Skates,Skates,300.0,464.69,None,Rain,0,164.69
2022-02-21,SKU-401,Stealth Pro Gloves,Gloves,90.0,165.03,None,Rain,0,75.03
2022-02-21,SKU-101,Pro Carbon Stick,Sticks,150.0,342.85,None,Snow,0,192.85
2022-02-21,SKU-201,Vapor Flex Skates,Skates,300.0,484.93,None,Sunny,0,184.93
2022-02-21,SKU-301,AeroLite Helmet,Helmets,80.0,142.57,10% Off,Snow,1,62.57
2022-02-22,SKU-201,Vapor Flex Skates,Skates,300.0,636.8,None,Sunny,0,336.8
2022-02-23,SKU-401,Stealth Pro Gloves,Gloves,90.0,146.84,None,Sunny,0,56.84
2022-02-23,SKU-401,Stealth Pro Gloves,Gloves,90.0,188.34,None,Snow,0,98.34
2022-02-24,SKU-301,AeroLite Helmet,Helmets,80.0,141.31,None,Sunny,0,61.31
2022-02-24,SKU-301,AeroLite Helmet,Helmets,80.0,137.06,None,Rain,0,57.06
2022-02-24,SKU-301,AeroLite Helmet,Helmets,80.0,121.24,None,Sunny,0,41.24
2022-02-25,SKU-101,Pro Carbon Stick,Sticks,150.0,373.35,None,Snow,0,223.35
2022-02-26,SKU-301,AeroLite Helmet,Helmets,80.0,173.97,None,Sunny,0,93.97
2022-02-26,SKU-201,Vapor Flex Skates,Skates,300.0,583.57,None,Snow,0,283.57
2022-02-26,SKU-101,Pro Carbon Stick,Sticks,150.0,340.56,10% Off,Sunny,0,190.56
2022-02-26,SKU-101,Pro Carbon Stick,Sticks,150.0,320.29,None,Sunny,0,170.29
2022-02-27,SKU-401,Stealth Pro Gloves,Gloves,90.0,174.53,10% Off,Sunny,1,84.53
2022-02-28,SKU-201,Vapor Flex Skates,Skates,300.0,491.49,None,Rain,0,191.49
2022-02-28,SKU-401,Stealth Pro Gloves,Gloves,90.0,145.68,None,Sunny,0,55.68
2022-03-01,SKU-401,Stealth Pro Gloves,Gloves,90.0,216.09,None,Sunny,0,126.09
2022-03-01,SKU-101,Pro Carbon Stick,Sticks,150.0,365.81,10% Off,Rain,0,215.81
2022-03-01,SKU-101,Pro Carbon Stick,Sticks,150.0,309.81,None,Sunny,0,159.81
2022-03-03,SKU-401,Stealth Pro Gloves,Gloves,90.0,140.47,None,Rain,0,50.47
2022-03-04,SKU-201,Vapor Flex Skates,Skates,300.0,682.75,10% Off,Sunny,0,382.75
2022-03-04,SKU-301,AeroLite Helmet,Helmets,80.0,194.81,10% Off,Sunny,0,114.81
2022-03-09,SKU-201,Vapor Flex Skates,Skates,300.0,506.93,None,Sunny,0,206.93
2022-03-10,SKU-401,Stealth Pro Gloves,Gloves,90.0,172.24,None,Snow,0,82.24
2022-03-10,SKU-201,Vapor Flex Skates,Skates,300.0,682.07,10% Off,Sunny,1,382.07
2022-03-11,SKU-301,AeroLite Helmet,Helmets,80.0,125.41,10% Off,Snow,0,45.41
2022-03-12,SKU-401,Stealth Pro Gloves,Gloves,90.0,224.8,None,Snow,0,134.8
2022-03-14,SKU-201,Vapor Flex Skates,Skates,300.0,550.71,10% Off,Snow,0,250.71
2022-03-15,SKU-301,AeroLite Helmet,Helmets,80.0,152.2,None,Sunny,0,72.2
2022-03-15,SKU-401,Stealth Pro Gloves,Gloves,90.0,196.55,None,Sunny,0,106.55
2022-03-17,SKU-301,AeroLite Helmet,Helmets,80.0,131.33,None,Rain,0,51.33
2022-03-19,SKU-301,AeroLite Helmet,Helmets,80.0,146.18,None,Snow,0,66.18
2022-03-19,SKU-201,Vapor Flex Skates,Skates,300.0,584.58,10% Off,Snow,0,284.58
2022-03-19,SKU-301,AeroLite Helmet,Helmets,80.0,123.29,None,Rain,0,43.29
2022-03-20,SKU-301,AeroLite Helmet,Helmets,80.0,145.06,None,Snow,0,65.06
2022-03-20,SKU-401,Stealth Pro Gloves,Gloves,90.0,191.8,None,Snow,0,101.8
2022-03-21,SKU-101,Pro Carbon Stick,Sticks,150.0,370.46,10% Off,Sunny,1,220.46
2022-03-22,SKU-301,AeroLite Helmet,Helmets,80.0,199.96,10% Off,Snow,0,119.96
2022-03-23,SKU-401,Stealth Pro Gloves,Gloves,90.0,208.73,None,Sunny,0,118.73
2022-03-23,SKU-201,Vapor Flex Skates,Skates,300.0,653.86,None,Rain,0,353.86
2022-03-23,SKU-301,AeroLite Helmet,Helmets,80.0,170.81,None,Sunny,0,90.81
2022-03-23,SKU-201,Vapor Flex Skates,Skates,300.0,505.1,None,Rain,0,205.1
2022-03-24,SKU-101,Pro Carbon Stick,Sticks,150.0,274.99,None,Sunny,0,124.99
2022-03-24,SKU-401,Stealth Pro Gloves,Gloves,90.0,152.76,None,Sunny,0,62.76
2022-03-28,SKU-201,Vapor Flex Skates,Skates,300.0,719.42,10% Off,Rain,0,419.42
2022-03-28,SKU-101,Pro Carbon Stick,Sticks,150.0,335.24,None,Rain,0,185.24
2022-03-28,SKU-301,AeroLite Helmet,Helmets,80.0,135.81,None,Snow,0,55.81
2022-03-28,SKU-401,Stealth Pro Gloves,Gloves,90.0,210.91,10% Off,Sunny,0,120.91
2022-03-28,SKU-401,Stealth Pro Gloves,Gloves,90.0,138.65,None,Snow,0,48.65
2022-03-30,SKU-201,Vapor Flex Skates,Skates,300.0,649.19,None,Sunny,0,349.19
2022-03-30,SKU-101,Pro Carbon Stick,Sticks,150.0,227.09,None,Rain,0,77.09
2022-03-31,SKU-201,Vapor Flex Skates,Skates,300.0,470.38,10% Off,Sunny,0,170.38
2022-03-31,SKU-201,Vapor Flex Skates,Skates,300.0,629.38,10% Off,Snow,0,329.38
2022-04-02,SKU-301,AeroLite Helmet,Helmets,80.0,136.57,None,Sunny,0,56.57
2022-04-03,SKU-301,AeroLite Helmet,Helmets,80.0,158.64,None,Snow,0,78.64
2022-04-04,SKU-301,AeroLite Helmet,Helmets,80.0,160.88,None,Snow,0,80.88
2022-04-04,SKU-401,Stealth Pro Gloves,Gloves,90.0,212.37,None,Rain,0,122.37
2022-04-04,SKU-301,AeroLite Helmet,Helmets,80.0,155.35,None,Rain,1,75.35
2022-04-04,SKU-201,Vapor Flex Skates,Skates,300.0,743.74,None,Sunny,0,443.74
2022-04-05,SKU-301,AeroLite Helmet,Helmets,80.0,143.54,None,Sunny,1,63.54
2022-04-06,SKU-301,AeroLite Helmet,Helmets,80.0,133.12,None,Rain,0,53.12
2022-04-07,SKU-401,Stealth Pro Gloves,Gloves,90.0,146.64,None,Snow,0,56.64
2022-04-07,SKU-101,Pro Carbon Stick,Sticks,150.0,243.91,None,Rain,0,93.91
2022-04-08,SKU-301,AeroLite Helmet,Helmets,80.0,189.6,None,Sunny,0,109.6
2022-04-08,SKU-301,AeroLite Helmet,Helmets,80.0,141.44,None,Sunny,0,61.44
2022-04-09,SKU-301,AeroLite Helmet,Helmets,80.0,172.28,10% Off,Snow,0,92.28
2022-04-09,SKU-401,Stealth Pro Gloves,Gloves,90.0,168.29,None,Sunny,0,78.29
2022-04-12,SKU-401,Stealth Pro Gloves,Gloves,90.0,163.43,None,Snow,1,73.43
2022-04-12,SKU-301,AeroLite Helmet,Helmets,80.0,181.09,None,Rain,0,101.09
2022-04-13,SKU-401,Stealth Pro Gloves,Gloves,90.0,143.35,None,Sunny,0,53.35
2022-04-13,SKU-101,Pro Carbon Stick,Sticks,150.0,243.38,None,Sunny,0,93.38
2022-04-14,SKU-201,Vapor Flex Skates,Skates,300.0,678.77,None,Sunny,0,378.77
2022-04-14,SKU-401,Stealth Pro Gloves,Gloves,90.0,183.3,None,Snow,0,93.3
2022-04-16,SKU-301,AeroLite Helmet,Helmets,80.0,145.45,10% Off,Rain,0,65.45
2022-04-17,SKU-101,Pro Carbon Stick,Sticks,150.0,369.41,None,Rain,0,219.41
2022-04-17,SKU-401,Stealth Pro Gloves,Gloves,90.0,219.26,None,Snow,0,129.26
2022-04-18,SKU-201,Vapor Flex Skates,Skates,300.0,684.22,None,Rain,0,384.22
2022-04-20,SKU-201,Vapor Flex Skates,Skates,300.0,579.37,None,Snow,0,279.37
2022-04-21,SKU-101,Pro Carbon Stick,Sticks,150.0,371.1,None,Sunny,0,221.1
2022-04-22,SKU-101,Pro Carbon Stick,Sticks,150.0,333.73,None,Rain,0,183.73
2022-04-22,SKU-401,Stealth Pro Gloves,Gloves,90.0,186.17,10% Off,Snow,0,96.17
2022-04-23,SKU-401,Stealth Pro Gloves,Gloves,90.0,215.16,10% Off,Rain,0,125.16
2022-04-23,SKU-301,AeroLite Helmet,Helmets,80.0,167.95,None,Sunny,0,87.95
2022-04-24,SKU-101,Pro Carbon Stick,Sticks,150.0,286.91,None,Sunny,0,136.91
2022-04-26,SKU-101,Pro Carbon Stick,Sticks,150.0,316.84,None,Snow,0,166.84
2022-04-26,SKU-201,Vapor Flex Skates,Skates,300.0,454.81,None,Sunny,0,154.81
2022-04-27,SKU-201,Vapor Flex Skates,Skates,300.0,694.32,10% Off,Sunny,0,394.32
2022-04-27,SKU-201,Vapor Flex Skates,Skates,300.0,749.71,None,Rain,0,449.71
2022-04-28,SKU-101,Pro Carbon Stick,Sticks,150.0,290.82,None,Sunny,0,140.82
2022-04-30,SKU-101,Pro Carbon Stick,Sticks,150.0,316.22,None,Rain,0,166.22
2022-05-02,SKU-401,Stealth Pro Gloves,Gloves,90.0,214.1,None,Rain,0,124.1
2022-05-04,SKU-101,Pro Carbon Stick,Sticks,150.0,366.83,None,Sunny,0,216.83
2022-05-04,SKU-201,Vapor Flex Skates,Skates,300.0,489.73,None,Snow,0,189.73
2022-05-05,SKU-101,Pro Carbon Stick,Sticks,150.0,257.92,None,Sunny,0,107.92
2022-05-06,SKU-101,Pro Carbon Stick,Sticks,150.0,344.49,None,Snow,0,194.49
2022-05-07,SKU-101,Pro Carbon Stick,Sticks,150.0,235.11,None,Snow,0,85.11
2022-05-08,SKU-301,AeroLite Helmet,Helmets,80.0,128.03,10% Off,Rain,0,48.03
2022-05-09,SKU-301,AeroLite Helmet,Helmets,80.0,144.94,None,Rain,0,64.94
2022-05-09,SKU-401,Stealth Pro Gloves,Gloves,90.0,210.41,None,Rain,0,120.41
2022-05-10,SKU-401,Stealth Pro Gloves,Gloves,90.0,159.27,None,Snow,0,69.27
2022-05-10,SKU-301,AeroLite Helmet,Helmets,80.0,151.49,None,Snow,0,71.49
2022-05-11,SKU-301,AeroLite Helmet,Helmets,80.0,143.44,None,Sunny,0,63.44
2022-05-11,SKU-201,Vapor Flex Skates,Skates,300.0,692.87,10% Off,Rain,0,392.87
2022-05-12,SKU-401,Stealth Pro Gloves,Gloves,90.0,216.68,None,Rain,0,126.68
2022-05-13,SKU-401,Stealth Pro Gloves,Gloves,90.0,212.72,None,Sunny,0,122.72
2022-05-13,SKU-201,Vapor Flex Skates,Skates,300.0,728.6,10% Off,Rain,0,428.6
2022-05-14,SKU-301,AeroLite Helmet,Helmets,80.0,141.59,None,Rain,0,61.59
2022-05-16,SKU-101,Pro Carbon Stick,Sticks,150.0,354.45,None,Sunny,0,204.45
2022-05-17,SKU-201,Vapor Flex Skates,Skates,300.0,649.13,None,Snow,0,349.13
2022-05-18,SKU-201,Vapor Flex Skates,Skates,300.0,522.94,None,Rain,0,222.94
2022-05-20,SKU-401,Stealth Pro Gloves,Gloves,90.0,137.02,None,Snow,1,47.02
2022-05-23,SKU-401,Stealth Pro Gloves,Gloves,90.0,211.59,None,Sunny,0,121.59
2022-05-24,SKU-201,Vapor Flex Skates,Skates,300.0,476.43,None,Rain,0,176.43
2022-05-24,SKU-401,Stealth Pro Gloves,Gloves,90.0,161.23,None,Snow,0,71.23
2022-05-24,SKU-101,Pro Carbon Stick,Sticks,150.0,356.1,None,Snow,0,206.1
2022-05-25,SKU-301,AeroLite Helmet,Helmets,80.0,136.78,None,Snow,0,56.78
2022-05-25,SKU-401,Stealth Pro Gloves,Gloves,90.0,202.64,None,Sunny,0,112.64
2022-05-26,SKU-301,AeroLite Helmet,Helmets,80.0,120.06,None,Sunny,0,40.06
2022-05-26,SKU-101,Pro Carbon Stick,Sticks,150.0,343.61,None,Sunny,0,193.61
2022-05-26,SKU-201,Vapor Flex Skates,Skates,300.0,740.07,10% Off,Snow,0,440.07
2022-05-27,SKU-401,Stealth Pro Gloves,Gloves,90.0,207.96,None,Sunny,0,117.96
2022-05-27,SKU-201,Vapor Flex Skates,Skates,300.0,567.46,None,Sunny,0,267.46
2022-05-27,SKU-401,Stealth Pro Gloves,Gloves,90.0,201.62,None,Snow,0,111.62
2022-05-27,SKU-101,Pro Carbon Stick,Sticks,150.0,339.61,None,Sunny,0,189.61
2022-05-28,SKU-201,Vapor Flex Skates,Skates,300.0,735.61,10% Off,Snow,0,435.61
2022-05-28,SKU-301,AeroLite Helmet,Helmets,80.0,185.14,None,Snow,0,105.14
2022-05-28,SKU-401,Stealth Pro Gloves,Gloves,90.0,154.33,None,Sunny,0,64.33
2022-05-29,SKU-101,Pro Carbon Stick,Sticks,150.0,362.59,None,Snow,0,212.59
2022-05-29,SKU-301,AeroLite Helmet,Helmets,80.0,147.74,10% Off,Sunny,0,67.74
2022-05-29,SKU-301,AeroLite Helmet,Helmets,80.0,120.85,None,Snow,0,40.85
2022-05-30,SKU-401,Stealth Pro Gloves,Gloves,90.0,216.21,10% Off,Rain,0,126.21
2022-05-30,SKU-401,Stealth Pro Gloves,Gloves,90.0,198.65,10% Off,Snow,0,108.65
2022-05-30,SKU-201,Vapor Flex Skates,Skates,300.0,706.57,None,Snow,0,406.57
2022-05-31,SKU-301,AeroLite Helmet,Helmets,80.0,179.32,None,Rain,0,99.32
2022-05-31,SKU-301,AeroLite Helmet,Helmets,80.0,125.55,None,Sunny,0,45.55
2022-05-31,SKU-201,Vapor Flex Skates,Skates,300.0,743.35,10% Off,Rain,0,443.35
2022-06-02,SKU-101,Pro Carbon Stick,Sticks,150.0,303.7,None,Sunny,0,153.7
2022-06-02,SKU-101,Pro Carbon Stick,Sticks,150.0,357.29,None,Rain,0,207.29
2022-06-02,SKU-101,Pro Carbon Stick,Sticks,150.0,351.83,None,Sunny,0,201.83
2022-06-03,SKU-401,Stealth Pro Gloves,Gloves,90.0,174.05,10% Off,Sunny,0,84.05
2022-06-03,SKU-201,Vapor Flex Skates,Skates,300.0,622.89,None,Rain,0,322.89
2022-06-04,SKU-201,Vapor Flex Skates,Skates,300.0,538.21,None,Snow,0,238.21
2022-06-04,SKU-401,Stealth Pro Gloves,Gloves,90.0,167.92,None,Snow,0,77.92
2022-06-05,SKU-201,Vapor Flex Skates,Skates,300.0,710.75,None,Snow,0,410.75
2022-06-05,SKU-101,Pro Carbon Stick,Sticks,150.0,296.12,None,Sunny,0,146.12
2022-06-05,SKU-201,Vapor Flex Skates,Skates,300.0,705.35,None,Snow,0,405.35
2022-06-05,SKU-301,AeroLite Helmet,Helmets,80.0,189.62,None,Rain,0,109.62
2022-06-05,SKU-401,Stealth Pro Gloves,Gloves,90.0,205.28,None,Rain,0,115.28
2022-06-06,SKU-101,Pro Carbon Stick,Sticks,150.0,225.75,None,Sunny,0,75.75
2022-06-07,SKU-201,Vapor Flex Skates,Skates,300.0,696.04,None,Rain,0,396.04
2022-06-07,SKU-401,Stealth Pro Gloves,Gloves,90.0,213.89,None,Sunny,0,123.89
2022-06-07,SKU-101,Pro Carbon Stick,Sticks,150.0,283.98,None,Sunny,0,133.98
2022-06-08,SKU-201,Vapor Flex Skates,Skates,300.0,682.51,10% Off,Snow,0,382.51
2022-06-08,SKU-101,Pro Carbon Stick,Sticks,150.0,257.71,None,Sunny,0,107.71
2022-06-08,SKU-101,Pro Carbon Stick,Sticks,150.0,338.92,10% Off,Rain,0,188.92
2022-06-10,SKU-401,Stealth Pro Gloves,Gloves,90.0,167.4,None,Snow,0,77.4
2022-06-10,SKU-301,AeroLite Helmet,Helmets,80.0,152.77,None,Sunny,0,72.77
2022-06-11,SKU-101,Pro Carbon Stick,Sticks,150.0,266.37,None,Sunny,0,116.37
2022-06-11,SKU-301,AeroLite Helmet,Helmets,80.0,172.58,10% Off,Sunny,0,92.58
2022-06-12,SKU-101,Pro Carbon Stick,Sticks,150.0,335.96,None,Rain,0,185.96
2022-06-14,SKU-101,Pro Carbon Stick,Sticks,150.0,248.18,10% Off,Snow,0,98.18
2022-06-14,SKU-401,Stealth Pro Gloves,Gloves,90.0,210.55,10% Off,Rain,0,120.55
2022-06-16,SKU-401,Stealth Pro Gloves,Gloves,90.0,220.7,None,Rain,0,130.7
2022-06-17,SKU-301,AeroLite Helmet,Helmets,80.0,172.67,None,Rain,0,92.67
2022-06-18,SKU-301,AeroLite Helmet,Helmets,80.0,134.39,None,Snow,0,54.39
2022-06-18,SKU-101,Pro Carbon Stick,Sticks,150.0,322.8,None,Snow,0,172.8
2022-06-18,SKU-101,Pro Carbon Stick,Sticks,150.0,323.14,None,Sunny,0,173.14
2022-06-18,SKU-101,Pro Carbon Stick,Sticks,150.0,357.65,None,Sunny,0,207.65
2022-06-18,SKU-301,AeroLite Helmet,Helmets,80.0,199.23,None,Snow,0,119.23
2022-06-19,SKU-101,Pro Carbon Stick,Sticks,150.0,259.08,10% Off,Snow,0,109.08
